countries,lng_lat
Afghanistan,"[66.2385139, 33.7680065]"
Aland Islands,"[19.9438638, 60.2166218]"
Albania,"[19.9999619, 41.000028]"
Algeria,"[2.9999825, 28.0000272]"
American Samoa,"[-170.7131481, -14.297124]"
Andorra,"[1.5732033, 42.5407167]"
Angola,"[17.5691241, -11.8775768]"
Anguilla,"[-63.0750234, 18.1954947]"
Antarctica,"[0.3149312, -79.4063075]"
Antigua and Barbuda,"[-61.9554608, 17.2234721]"
Argentina,"[-64.9672817, -34.9964963]"
Armenia,"[44.6736646, 40.7696272]"
Aruba,"[-69.98186415210564, 12.51756625]"
Australia,"[134.755, -24.7761086]"
Austria,"[14.12456, 47.59397]"
Azerbaijan,"[47.7872508, 40.3936294]"
Bahamas,"[-78.0000547, 24.7736546]"
Bahrain,"[50.5344606, 26.1551249]"
Bangladesh,"[90.2934413, 24.4769288]"
Barbados,"[-59.5250305, 13.1500331]"
Belarus,"[27.6971358, 53.4250605]"
Belgium,"[4.6667145, 50.6402809]"
Belize,"[-88.7600927, 16.8259793]"
Benin,"[2.2584408, 9.5293472]"
Bermuda,"[-64.7561647, 32.30382]"
Bhutan,"[90.5119273, 27.549511]"
Bolivia,"[-64.9912286, -17.0568696]"
Bonaire,"[-68.28764385602938, 12.167]"
Bosnia,"[17.5961467, 44.3053476]"
Botswana,"[24.5928742, -23.1681782]"
Bouvet Island,"[3.3599732952297483, -54.4201305]"
Brazil,"[-53.2, -10.3333333]"
British Indian Ocean Territory,"[71.86064227010121, -5.3497093499999995]"
Brunei,"[114.5653908, 4.4137155]"
Bulgaria,"[25.4856617, 42.6073975]"
Burkina Faso,"[-1.6880314, 12.0753083]"
Burundi,"[29.9324519, -3.426449]"
BVI,"[139.34517881819852, -25.89117585]"
Cabo Verde,"[-24.0083947, 16.0000552]"
Cambodia,"[104.8144914, 12.5433216]"
Cameroon,"[13.1535811, 4.6125522]"
Canada,"[-107.991707, 61.0666922]"
Cayman Islands,"[-79.9174627243246, 19.703182249999998]"
Central African Republic,"[19.9981227, 7.0323598]"
Chad,"[19.0156172, 15.6134137]"
