place,lng_lat
Uruguay,"[-56.0201525, -32.8755548]"
Sierra Leone,"[-11.8400269, 8.6400349]"
Puerto Rico,"[-66.4858295, 18.2247706]"
Equatorial Guinea,"[10.5170357, 1.613172]"
Kyrgyzstan,"[74.724091, 41.5089324]"
Liechtenstein,"[9.5531527, 47.1416307]"
Estonia,"[25.3319078, 58.7523778]"
Sudan,"[29.4917691, 14.5844444]"
Zambia,"[27.5589884, -14.5189121]"
Kazakhstan,"[66.7780818, 48.1012954]"
Vanuatu,"[168.1069154, -16.5255069]"
Hungary,"[19.5060937, 47.1817585]"
Mauritania,"[-9.2399263, 20.2540382]"
Liberia,"[-9.3658524, 5.7499721]"
Hong Kong,"[114.1628131, 22.2793278]"
Gambia,"[-15.4900464, 13.470062]"
Bhutan,"[90.5119273, 27.549511]"
Bosnia,"[17.5961467, 44.3053476]"
Russia,"[97.7453061, 64.6863136]"
Algeria,"[2.9999825, 28.0000272]"
Domestic,"[-85.0885807, 40.6117126]"
Turkmenistan,"[59.3924609, 39.3763807]"
Niger,"[9.3238432, 17.7356214]"
Poland,"[19.134422, 52.215933]"
Cabo Verde,"[-24.0083947, 16.0000552]"
Haiti,"[-72.3570972, 19.1399952]"
United States,"[-100.445882, 39.7837304]"
Burkina Faso,"[-1.6880314, 12.0753083]"
Japan,"[139.2394179, 36.5748441]"
Turkey,"[34.9249653, 38.9597594]"
Kenya,"[38.4313975, 1.4419683]"
Colombia,"[-72.9088133, 4.099917]"
Guinea,"[-10.7083587, 10.7226226]"
Zimbabwe,"[29.7468414, -18.4554963]"
Armenia,"[44.6736646, 40.7696272]"
Senegal,"[-14.4529612, 14.4750607]"
Argentina,"[-64.9672817, -34.9964963]"
Venezuela,"[-66.1109318, 8.0018709]"
Tanzania,"[35.7878438, -6.5247123]"
Myanmar,"[95.9999652, 17.1750495]"
Vietnam,"[107.9650855, 15.9266657]"
Maldives,"[73.2244152, 3.7203503]"
Timor-Leste,"[126.063482, -8.7443169]"
Papua New Guinea,"[144.2489081, -5.6816069]"
Lebanon,"[35.843409, 33.8750629]"
Marshall Islands,"[168.0002575, 8.9995549]"
Georgia,"[-83.1137366, 32.3293809]"
Peru,"[-75.0458515, -6.8699697]"
South Sudan,"[29.6667897, 7.8699431]"
Montenegro,"[19.5180992, 42.9868853]"
France,"[1.8883335, 46.603354]"
Tunisia,"[9.400138, 33.8439408]"
Austria,"[14.12456, 47.59397]"
Thailand,"[100.83273, 14.8971921]"
Czechia,"[15.3381061, 49.7439047]"
Pakistan,"[71.247499, 30.3308401]"
Jersey,"[-2.1358386, 49.2214561]"
Italy,"[12.674297, 42.6384261]"
Cuba,"[-80.8328748, 23.0131338]"
Brunei,"[114.5653908, 4.4137155]"
Vatican,"[12.453152716391763, 41.90381485]"
Latvia,"[24.7537645, 56.8406494]"
Paraguay,"[-58.1693445, -23.3165935]"
Israel,"[34.8594762, 30.8124247]"
Costa Rica,"[-84.0739102, 10.2735633]"
Egypt,"[29.2675469, 26.2540493]"
Namibia,"[17.3231107, -23.2335499]"
Brazil,"[-53.2, -10.3333333]"
Suriname,"[-56.0771187, 4.1413025]"
Kiribati,"[173.6641773, 0.3448612]"
Indonesia,"[117.8902853, -2.4833826]"
Lesotho,"[28.3350193, -29.6039267]"
Bangladesh,"[90.2934413, 24.4769288]"
Morocco,"[-7.3362482, 31.1728205]"
Philippines,"[122.7312101, 12.7503486]"
