,place
0,Caribbean
1,Samoa
2,Namibia
3,Macedonia
4,Belize
5,Jamaica
6,Timor-Leste
7,Republic of the Congo
8,Botswana
9,Maldives
10,Bulgaria
11,Ukraine
12,Montenegro
13,Germany
14,Chile
15,Luxembourg
16,Somalia
17,Colombia
18,Singapore
19,Netherlands
20,Haiti
21,Senegal
22,Niger
23,China
24,Finland
25,Djibouti
26,Uzbekistan
27,Albania
28,Japan
29,Ireland
30,Nigeria
31,Switzerland
32,Oman
33,Kyrgyzstan
34,Indonesia
35,Afghanistan
36,Fiji
37,Australia
38,Panama
39,Angola
40,Malaysia
41,Ethiopia
42,Uruguay
43,Mauritania
44,Rwanda
45,Slovenia
46,Uganda
47,Kuwait
48,United Kingdom
49,North Korea
50,Cyprus
51,Liberia
52,United States
53,Pakistan
54,Hungary
55,Serbia
56,Ecuador
57,Costa Rica
58,India
59,United Arab Emirates
60,Sudan
61,South Africa
62,France
63,Suriname
64,Sri Lanka
65,Togo
66,Canada
67,Czechia
68,Dominican Republic
69,Latvia
70,Korea
71,Brazil
72,Gambia
73,Argentina
74,Taiwan
75,Cameroon
76,Bahrain
77,Trinidad and Tobago
78,Italy
79,Estonia
80,Mexico
81,Central African Republic
82,Nepal
83,Bangladesh
84,Bahamas
85,Peru
86,Belarus
87,Chad
88,Puerto Rico
89,Saint Lucia
90,Jordan
91,Lebanon
92,Croatia
93,Malta
94,Brunei
95,Hong Kong
96,South Sudan
97,Kenya
98,Austria
99,Domestic
100,Spain
101,El Salvador
102,Honduras
103,Poland
104,Mozambique
105,Burkina Faso
106,Mongolia
107,Laos
108,Greenland
109,Thailand
110,Dominica
111,Greece
112,Morocco
113,New Zealand
114,Georgia
115,Vietnam
116,Lithuania
117,Paraguay
118,Moldova
119,Kazakhstan
120,Myanmar
121,Bosnia
122,Bhutan
123,Iceland
124,Russia
125,Papua New Guinea
126,Sweden
127,Romania
128,Denmark
129,Barbados
130,Norway
131,Qatar
132,Mali
133,Turkey
134,Vatican
135,Guatemala
136,Belgium
137,Ghana
138,Guinea
139,Eritrea
140,Slovakia
141,Portugal
142,Philippines
143,Saudi Arabia
144,Israel
145,Bolivia
146,Tajikistan
147,Micronesia
148,Egypt
149,Guyana
150,Tunisia
151,Azerbaijan
152,Palau
153,Iraq
154,Algeria
155,EU
