,place,place_geo_dict
0,Haiti,"{""Haiti"": {""latitude"": 19.1399952, ""longitude"": -72.3570972}}"
1,South Africa,"{""South Africa"": {""latitude"": -28.8166236, ""longitude"": 24.991639}}"
2,Somalia,"{""Somalia"": {""latitude"": 8.3676771, ""longitude"": 49.083416}}"
3,Uruguay,"{""Uruguay"": {""latitude"": -32.8755548, ""longitude"": -56.0201525}}"
4,Moldova,"{""Moldova"": {""latitude"": 47.2879608, ""longitude"": 28.5670941}}"
5,Guinea,"{""Guinea"": {""latitude"": 10.7226226, ""longitude"": -10.7083587}}"
6,Guatemala,"{""Guatemala"": {""latitude"": 15.5855545, ""longitude"": -90.345759}}"
7,Central African Republic,"{""Central African Republic"": {""latitude"": 7.0323598, ""longitude"": 19.9981227}}"
8,Serbia,"{""Serbia"": {""latitude"": 44.1534121, ""longitude"": 20.55144}}"
9,Macedonia,"{""Macedonia"": {""latitude"": 41.6171214, ""longitude"": 21.7168387}}"
10,Samoa,"{""Samoa"": {""latitude"": -13.7693895, ""longitude"": -172.12005}}"
11,Ukraine,"{""Ukraine"": {""latitude"": 49.4871968, ""longitude"": 31.2718321}}"
12,Brazil,"{""Brazil"": {""latitude"": -10.3333333, ""longitude"": -53.2}}"
13,Jordan,"{""Jordan"": {""latitude"": 31.1667049, ""longitude"": 36.941628}}"
14,Switzerland,"{""Switzerland"": {""latitude"": 46.7985624, ""longitude"": 8.2319736}}"
15,Laos,"{""Laos"": {""latitude"": 20.0171109, ""longitude"": 103.378253}}"
16,Republic of the Congo,"{""Republic of the Congo"": {""latitude"": -0.7264327, ""longitude"": 15.6419155}}"
17,Ireland,"{""Ireland"": {""latitude"": 52.865196, ""longitude"": -7.9794599}}"
18,Cyprus,"{""Cyprus"": {""latitude"": 34.9823018, ""longitude"": 33.1451285}}"
19,North Korea,"{""North Korea"": {""latitude"": 40.3736611, ""longitude"": 127.0870417}}"
20,Korea,"{""Korea"": {""latitude"": 36.638392, ""longitude"": 127.6961188}}"
21,Denmark,"{""Denmark"": {""latitude"": 55.670249, ""longitude"": 10.3333283}}"
22,Albania,"{""Albania"": {""latitude"": 41.000028, ""longitude"": 19.9999619}}"
23,Bolivia,"{""Bolivia"": {""latitude"": -17.0568696, ""longitude"": -64.9912286}}"
24,Liberia,"{""Liberia"": {""latitude"": 5.7499721, ""longitude"": -9.3658524}}"
25,Dominica,"{""Dominica"": {""latitude"": 19.0974031, ""longitude"": -70.3028026}}"
26,Qatar,"{""Qatar"": {""latitude"": 25.3336984, ""longitude"": 51.2295295}}"
27,Sudan,"{""Sudan"": {""latitude"": 14.5844444, ""longitude"": 29.4917691}}"
28,South Sudan,"{""South Sudan"": {""latitude"": 7.8699431, ""longitude"": 29.6667897}}"
29,Vatican,"{""Vatican"": {""latitude"": 41.903411, ""longitude"": 12.4528527}}"
30,Timor-Leste,"{""Timor-Leste"": {""latitude"": -8.7443169, ""longitude"": 126.063482}}"
31,Turkey,"{""Turkey"": {""latitude"": 38.9597594, ""longitude"": 34.9249653}}"
32,Indonesia,"{""Indonesia"": {""latitude"": -2.4833826, ""longitude"": 117.8902853}}"
33,Afghanistan,"{""Afghanistan"": {""latitude"": 33.7680065, ""longitude"": 66.2385139}}"
34,Germany,"{""Germany"": {""latitude"": 51.1638175, ""longitude"": 10.4478313}}"
35,Barbados,"{""Barbados"": {""latitude"": 13.1500331, ""longitude"": -59.5250305}}"
36,Bangladesh,"{""Bangladesh"": {""latitude"": 24.4769288, ""longitude"": 90.2934413}}"
37,Honduras,"{""Honduras"": {""latitude"": 15.2572432, ""longitude"": -86.0755145}}"
38,Canada,"{""Canada"": {""latitude"": 61.0666922, ""longitude"": -107.991707}}"
39,Bulgaria,"{""Bulgaria"": {""latitude"": 42.6073975, ""longitude"": 25.4856617}}"
40,Senegal,"{""Senegal"": {""latitude"": 14.4750607, ""longitude"": -14.4529612}}"
41,Belize,"{""Belize"": {""latitude"": 16.8259793, ""longitude"": -88.7600927}}"
42,Kuwait,"{""Kuwait"": {""latitude"": 29.2733964, ""longitude"": 47.4979476}}"
43,Tunisia,"{""Tunisia"": {""latitude"": 33.8439408, ""longitude"": 9.400138}}"
44,Ecuador,"{""Ecuador"": {""latitude"": -1.3397668, ""longitude"": -79.3666965}}"
45,Pakistan,"{""Pakistan"": {""latitude"": 30.3308401, ""longitude"": 71.247499}}"
46,Vietnam,"{""Vietnam"": {""latitude"": 15.9266657, ""longitude"": 107.9650855}}"
47,Ghana,"{""Ghana"": {""latitude"": 8.0300284, ""longitude"": -1.0800271}}"
48,Brunei,"{""Brunei"": {""latitude"": 4.4137155, ""longitude"": 114.5653908}}"
49,Dominican Republic,"{""Dominican Republic"": {""latitude"": 19.0974031, ""longitude"": -70.3028026}}"
50,Bosnia,"{""Bosnia"": {""latitude"": 44.3053476, ""longitude"": 17.5961467}}"
51,Hong Kong,"{""Hong Kong"": {""latitude"": 22.2793278, ""longitude"": 114.1628131}}"
52,Mozambique,"{""Mozambique"": {""latitude"": -19.302233, ""longitude"": 34.9144977}}"
53,Iraq,"{""Iraq"": {""latitude"": 33.0955793, ""longitude"": 44.1749775}}"
54,Domestic,"{""Domestic"": {""latitude"": 40.6117126, ""longitude"": -85.0885807}}"
55,Sri Lanka,"{""Sri Lanka"": {""latitude"": 7.877395849999999, ""longitude"": 80.66247852355892}}"
56,Slovenia,"{""Slovenia"": {""latitude"": 46.1199444, ""longitude"": 14.8153333}}"
