date,lastname,text,links,count,rank,type,travel_places,travel_start_date,travel_end_date,topics,meet_countries,link_content
2017-01-23,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-24,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-25,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-26,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-27,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-30,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-01-31,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-02-01,Shannon,"Acting Secretary Shannon attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,,, ; Domestic,
2017-02-02,Tillerson,9:30 a.m.Secretary Tillerson delivers remarks to Department of State employees upon arrival at the Department of State.,None,1,1,TBD, ,,,,,
2017-02-02,Tillerson,"4:00 p.m.Secretary Tillerson meets with German Foreign Minister Sigmar Gabriel, at the Department of State.",None,1,1,Meeting, ,,,, ; Germany,
2017-02-03,Tillerson,"2:40 p.m.Secretary Tillerson meets with UN Special Envoy Staffan de Mistura, at the Department of State.",None,1,1,Meeting, ,,, ; UN, ; Domestic,
2017-02-03,Tillerson,"12:30 p.m.Secretary Tillerson meets with Jordanian Foreign Minister Ayman Al Safadi, at the Department of State.",None,1,1,Meeting, ,,,, ; Jordan,
2017-02-06,Tillerson,"Secretary Tillerson attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,,, ; Domestic,
2017-02-07,Tillerson,"3:00 p.m. Secretary Tillerson meets with President Trump, at the White House.",None,1,1,Meeting, ,,,, ; Domestic,
2017-02-08,Tillerson,"10:45 a.m.Secretary Tillerson meets with Canadian Foreign Minister Chrystia Freeland, at the Department of State.",None,1,1,Meeting, ,,,, ; Canada,
2017-02-09,Tillerson,"12:35 p.m. Secretary Tillerson meets with European Union High Representative Federica Mogherini, at the Department of State.",None,1,1,Meeting, ,,,, ; EU,
2017-02-10,Tillerson,"10:00 a.m.Secretary Tillerson meets with Georgian Foreign Minister Mikheil Janelidze, at the Department of State.",None,1,1,Meeting, ,,,, ; Georgia,
2017-02-10,Tillerson,"9:00 a.m. Secretary Tillerson meets with Japanese Foreign Minister Fumio Kishida, at the Department of State.",None,1,1,Meeting, ,,,, ; Japan,
2017-02-13,Shannon,"11:25 a.m.UnderSecretary Shannonattends President Trump’s meeting with Canadian Prime Minister Justin Trudeau, at the White House.",None,1,3,Meeting, ,,,, ; Canada,
2017-02-13,Shannon,"3:00 p.m.Under Secretary Shannon attends a meeting, at the White House.",None,1,3,Meeting, ,,,, ; Domestic,
2017-02-13,Shannon,"8:30 a.m.Under Secretary Shannon meets with Turkish Foreign Under Secretary AmbassadorÜmit Yalçın, at the Department of State.",None,1,3,Meeting, ,,,, ; Turkey,
2017-02-13,Tillerson,Secretary Tillerson has no public appointments.,None,1,1,TBD, ,,,,,
2017-02-14,Wharton,"Acting Under Secretary Wharton is on travel to Warsaw, Poland, and Prague, Czech Republic, from February 15 to 18.",None,1,4,Travel,"{""Czechia"": {""latitude"": 49.7439047, ""longitude"": 15.3381061}, ""Poland"": {""latitude"": 52.215933, ""longitude"": 19.134422}}",2017-02-15,2017-02-18,,,
2017-02-14,Shannon,"12:30 p.m.UnderSecretary Shannon attends a working lunch with Russian Ambassador to the U.S. Sergey Ivanovich Kislyak, in Washington, D.C.",None,1,3,Meeting, ,,,, ; Russia,
2017-02-14,Greenfield,"3:00 p.m.Assistant Secretary Thomas-Greenfield meets with Lesotho Minister of Trade and Industry Joshua Setipa, at the Department of State.",None,2,4,Meeting, ,,, ; econ, ; Lesotho,
2017-02-14,Tillerson,"6:30 p.m.Secretary Tillerson hosts a working dinner for Israeli Prime Minister Benjamin Netanyahu, at the Department of State.",None,1,1,TBD, ,,,,,
